2026-02-18 23:01:56,792 Epoch 68 | Train Loss 0.1924 | Val Loss 0.2268 | BLEU-4 0.1867
2026-02-19 12:23:47,515 Epoch 69 | Train Loss 0.1919 | Val Loss 0.2265 | BLEU-4 0.1875
2026-02-19 15:05:16,128 Epoch 70 | Train Loss 0.1913 | Val Loss 0.2266 | BLEU-4 0.1879
2026-03-14 10:58:44,598 Epoch 71 | Train Loss -0.7701 | Val Loss 0.2424 | BLEU-4 0.1884
2026-03-14 16:02:22,086 Epoch 72 | Train Loss -0.6750 | Val Loss 0.2584 | BLEU-4 0.1865
2026-03-14 20:27:14,630 Epoch 73 | Train Loss -0.6281 | Val Loss 0.2709 | BLEU-4 0.1869
2026-03-15 00:55:11,065 Epoch 74 | Train Loss -0.5889 | Val Loss 0.2760 | BLEU-4 0.1867
2026-03-15 14:22:12,451 Epoch 75 | Train Loss -0.5749 | Val Loss 0.2817 | BLEU-4 0.1864
2026-03-15 18:46:34,383 Epoch 76 | Train Loss -0.5475 | Val Loss 0.2874 | BLEU-4 0.1859
2026-03-15 23:46:14,158 Epoch 77 | Train Loss -0.5344 | Val Loss 0.2886 | BLEU-4 0.1853
2026-03-16 14:24:51,628 Epoch 78 | Train Loss -0.5206 | Val Loss 0.2877 | BLEU-4 0.1853
2026-03-16 18:48:32,638 Epoch 79 | Train Loss -0.5268 | Val Loss 0.2908 | BLEU-4 0.1856
2026-03-16 23:19:05,340 Epoch 80 | Train Loss -0.5286 | Val Loss 0.2943 | BLEU-4 0.1847
2026-03-17 14:32:32,038 Epoch 81 | Train Loss -0.5077 | Val Loss 0.2962 | BLEU-4 0.1835
2026-03-17 18:59:29,498 Epoch 82 | Train Loss -0.5215 | Val Loss 0.2987 | BLEU-4 0.1828
2026-03-17 23:33:14,906 Epoch 83 | Train Loss -0.5265 | Val Loss 0.2994 | BLEU-4 0.1839
2026-03-18 10:11:11,089 Epoch 84 | Train Loss -0.5387 | Val Loss 0.2990 | BLEU-4 0.1830
2026-03-18 14:35:04,822 Epoch 85 | Train Loss -0.5517 | Val Loss 0.3008 | BLEU-4 0.1831
2026-03-18 19:04:41,590 Epoch 86 | Train Loss -0.5715 | Val Loss 0.3009 | BLEU-4 0.1829
2026-03-18 23:32:50,849 Epoch 87 | Train Loss -0.5830 | Val Loss 0.3027 | BLEU-4 0.1829
2026-03-19 10:18:17,625 Epoch 88 | Train Loss -0.6014 | Val Loss 0.3059 | BLEU-4 0.1818
2026-03-19 14:38:43,687 Epoch 89 | Train Loss -0.6193 | Val Loss 0.3096 | BLEU-4 0.1812
2026-03-19 19:01:09,478 Epoch 90 | Train Loss -0.6193 | Val Loss 0.3070 | BLEU-4 0.1818
2026-03-19 23:31:48,266 Epoch 91 | Train Loss -0.6434 | Val Loss 0.3067 | BLEU-4 0.1818
2026-03-20 09:32:56,725 Epoch 92 | Train Loss -0.6606 | Val Loss 0.3094 | BLEU-4 0.1809
2026-03-20 13:54:45,578 Epoch 93 | Train Loss -0.7179 | Val Loss 0.3092 | BLEU-4 0.1800
2026-03-20 18:18:22,274 Epoch 94 | Train Loss -0.6957 | Val Loss 0.3106 | BLEU-4 0.1803
2026-03-20 22:46:20,595 Epoch 95 | Train Loss -0.7123 | Val Loss 0.3114 | BLEU-4 0.1806
2026-03-21 09:33:03,891 Epoch 96 | Train Loss -0.7501 | Val Loss 0.3122 | BLEU-4 0.1797
2026-03-21 13:57:42,675 Epoch 97 | Train Loss -0.7652 | Val Loss 0.3139 | BLEU-4 0.1792
2026-03-21 18:26:58,854 Epoch 98 | Train Loss -0.7907 | Val Loss 0.3176 | BLEU-4 0.1781
2026-03-21 22:56:45,538 Epoch 99 | Train Loss -0.7851 | Val Loss 0.3187 | BLEU-4 0.1784
2026-03-22 09:44:14,557 Epoch 100 | Train Loss -0.8471 | Val Loss 0.3173 | BLEU-4 0.1786
2026-03-22 14:05:47,368 Epoch 101 | Train Loss -0.8441 | Val Loss 0.3188 | BLEU-4 0.1779
2026-03-22 18:30:38,107 Epoch 102 | Train Loss -0.8709 | Val Loss 0.3201 | BLEU-4 0.1767
